,open,close,high,low,total_turnover,volume,limit_up,limit_down
2005-01-07,1.7346,1.8385,1.8769,1.7346,20803154.63,11357557.0,1.9385,1.5846
2005-01-10,1.8692,1.9077,1.9385,1.8615,32597922.01,17159667.0,2.0231,1.6538
2005-01-11,1.9077,1.9231,1.9231,1.8692,9833916.46,5197117.0,2.1,1.7154
2005-01-12,1.9038,2.0154,2.0692,1.8962,27707619.89,13895885.0,2.1154,1.7308
2005-01-13,1.9923,1.9923,2.05,1.9654,21026146.7,10464789.0,2.2154,1.8154
2005-01-14,2.0,1.8731,2.0,1.8577,20269271.71,10592130.0,2.1923,1.7923
2005-01-17,1.8269,1.8154,1.8615,1.7654,10569104.48,5845759.0,2.0615,1.6846
2005-01-18,1.9231,1.8962,1.9231,1.7769,13917699.59,7464226.0,1.9962,1.6346
2005-01-19,1.9192,1.9731,2.0385,1.9154,31359937.32,15803122.0,2.0846,1.7077
2005-01-20,1.9423,2.0,2.0154,1.9,15784656.6,8014750.0,2.1692,1.7769
2005-01-21,1.9923,1.9538,2.0115,1.8615,13133003.1,6738542.0,2.2,1.8
2005-01-24,1.9923,2.0308,2.0346,1.9615,16398859.07,8191667.0,2.15,1.7577
2005-01-25,2.0192,1.9885,2.0231,1.9538,7395806.73,3734793.0,2.2346,1.8269
2005-01-26,1.9846,1.8962,1.9846,1.8923,7899805.95,4123387.0,2.1885,1.7885
2005-01-27,1.8923,1.7808,1.8923,1.7769,9763056.83,5394948.0,2.0846,1.7077
2005-01-28,1.75,1.7808,1.8308,1.7462,4495553.44,2514996.0,1.9577,1.6038
2005-01-31,1.7808,1.6231,1.8192,1.6038,9315124.61,5496660.0,1.9577,1.6038
2005-02-01,1.6231,1.6308,1.6692,1.6154,4210907.62,2567802.0,1.7846,1.4615
2005-02-02,1.6308,1.7462,1.7654,1.6,9783062.84,5778786.0,1.7923,1.4692
2005-02-03,1.7308,1.6692,1.7538,1.6615,7642411.71,4496240.0,1.9192,1.5731
2005-02-04,1.6692,1.6769,1.6962,1.6462,6239114.32,3739408.0,1.8346,1.5038
2005-02-16,1.6769,1.7,1.7538,1.6769,4886089.95,2842130.0,1.8462,1.5077
2005-02-17,1.6923,1.7846,1.7923,1.6846,7575105.82,4343100.0,1.8692,1.5308
2005-02-18,1.7846,1.7269,1.8,1.7231,5448423.77,3106446.0,1.9615,1.6077
2005-02-21,1.7269,1.7538,1.7654,1.7231,4380522.87,2511223.0,1.9,1.5538
2005-02-22,1.7538,1.7962,1.8269,1.7308,13645727.83,7605991.0,1.9308,1.5769
2005-02-23,1.8385,1.8731,1.9154,1.8038,19970370.84,10685384.0,1.9769,1.6154
2005-02-24,1.8731,1.8808,1.9423,1.8462,15301371.54,8027976.0,2.0615,1.6846
2005-02-25,1.8923,1.8885,1.9423,1.8462,15688552.16,8309265.0,2.0692,1.6923
2005-02-28,1.8885,1.8462,1.9038,1.8385,9372591.34,5036338.0,2.0769,1.7
2005-03-01,1.8538,1.8769,1.9115,1.8462,12263497.91,6506752.0,2.0308,1.6615
2005-03-02,1.8962,1.9,1.9577,1.8923,20784442.98,10782476.0,2.0654,1.6885
2005-03-03,1.8885,1.9423,1.9615,1.85,18364019.45,9579648.0,2.0885,1.7115
2005-03-04,1.95,1.8962,1.9654,1.8692,10633306.63,5566127.0,2.1385,1.75
2005-03-07,1.8962,1.8077,1.9077,1.7885,11605750.44,6341899.0,2.0846,1.7077
2005-03-08,1.8077,1.8538,1.8615,1.7923,10231612.69,5594571.0,1.9885,1.6269
2005-03-09,1.8654,1.8923,1.9077,1.8231,14238511.38,7654449.0,2.0385,1.6692
2005-03-10,1.8769,1.8385,1.8846,1.8077,10676046.46,5762767.0,2.0808,1.7038
2005-03-11,1.8462,1.8923,1.9038,1.8192,14747102.92,7914270.0,2.0231,1.6538
2005-03-14,1.9,1.9769,1.9808,1.8846,36155201.69,18725954.0,2.0808,1.7038
2005-03-15,1.9808,2.0654,2.0962,1.9769,51334186.54,24991395.0,2.1731,1.7808
2005-03-16,2.0654,1.9731,2.0692,1.9538,23815915.51,11957933.0,2.2731,1.8577
2005-03-17,1.9577,2.0192,2.0231,1.9038,21149025.68,10706049.0,2.1692,1.7769
2005-03-18,2.0,1.8192,2.0154,1.8192,14936387.85,7878801.0,2.2231,1.8192
2005-03-21,1.8077,1.6885,1.8077,1.6462,12968383.28,7516077.0,2.0,1.6385
2005-03-22,1.6885,1.7038,1.7269,1.6231,10216516.83,6073374.0,1.8577,1.5192
2005-03-23,1.7038,1.6962,1.75,1.6346,6476446.31,3823084.0,1.8731,1.5346
2005-03-24,1.6962,1.7115,1.7269,1.6538,4774256.53,2829570.0,1.8654,1.5269
2005-03-25,1.7115,1.7423,1.75,1.6769,7307145.44,4243551.0,1.8846,1.5423
2005-03-28,1.7346,1.6385,1.7385,1.5962,7538085.1,4548427.0,1.9154,1.5692
2005-03-29,1.6269,1.6154,1.6808,1.6077,4516611.61,2751840.0,1.8038,1.4731
2005-03-30,1.6,1.4885,1.6038,1.4692,9044760.74,5940041.0,1.7769,1.4538
2005-03-31,1.4808,1.5462,1.5577,1.4731,5785063.56,3776274.0,1.6385,1.3385
2005-04-01,1.5385,1.6,1.6308,1.5077,6610737.27,4222195.0,1.7,1.3923
2005-04-04,1.5769,1.5308,1.5885,1.5231,6019759.23,3871912.0,1.7615,1.4385
2005-04-05,1.5115,1.5231,1.5462,1.5,3618481.12,2380602.0,1.6846,1.3769
2005-04-06,1.5269,1.5538,1.5654,1.4885,5330354.44,3480006.0,1.6769,1.3692
2005-04-07,1.5385,1.5846,1.6154,1.5385,9118635.4,5754055.0,1.7077,1.4
2005-04-08,1.5769,1.6115,1.6192,1.5692,6445597.82,4041838.0,1.7423,1.4269
2005-04-11,1.6,1.6115,1.6538,1.6,7351911.34,4515043.0,1.7731,1.45
2005-04-12,1.6115,1.55,1.6385,1.5462,5014965.43,3153725.0,1.7731,1.45
2005-04-13,1.5346,1.5962,1.6077,1.5346,6139539.83,3875336.0,1.7038,1.3962
2005-04-14,1.5885,1.5692,1.6115,1.5577,6973668.08,4397598.0,1.7577,1.4385
2005-04-15,1.5577,1.4269,1.5577,1.4154,6951969.2,4687025.0,1.7269,1.4115
2005-04-18,1.3846,1.3346,1.4038,1.2846,5925464.22,4476495.0,1.5692,1.2846
2005-04-19,1.3192,1.35,1.3538,1.2923,4254976.4,3225755.0,1.4692,1.2
2005-04-20,1.3462,1.3154,1.3462,1.2769,4802694.38,3678974.0,1.4846,1.2154
2005-04-21,1.3038,1.2731,1.3269,1.2231,5050496.09,4003457.0,1.4462,1.1846
2005-04-22,1.2654,1.2423,1.2731,1.2077,14378127.06,11685222.0,1.4,1.1462
2005-04-25,1.2731,1.1962,1.3077,1.1192,26222069.5,22136153.0,1.3654,1.1192
2005-04-26,1.1538,1.2192,1.2577,1.1538,16308211.03,13390442.0,1.3154,1.0769
2005-04-27,1.2231,1.2115,1.2577,1.1654,11743660.3,9659749.0,1.3423,1.0962
2005-04-28,1.1923,1.2731,1.3154,1.1538,13890866.77,11166698.0,1.3346,1.0923
2005-04-29,1.3538,1.2462,1.3538,1.2385,17858101.64,13963453.0,1.4,1.1462
2005-05-09,1.2462,1.2462,1.2462,1.2462,0.0,0.0,,
2005-05-10,1.1538,1.1308,1.1731,1.1231,8202862.67,7250654.0,1.3692,1.1231
2005-05-11,1.1077,1.1423,1.1615,1.1077,4893801.48,4277021.0,1.2423,1.0192
2005-05-12,1.1346,1.1423,1.1769,1.1115,3933399.08,3452998.0,1.2577,1.0269
2005-05-13,1.1346,1.1923,1.1962,1.1346,6134354.77,5235703.0,1.2577,1.0269
2005-05-16,1.1846,1.1692,1.1846,1.1577,2790243.57,2383038.0,1.3115,1.0731
2005-05-17,1.1885,1.2,1.2154,1.1692,5588999.17,4669876.0,1.2846,1.0538
2005-05-18,1.2,1.2231,1.2462,1.1846,6823035.5,5586157.0,1.3192,1.0808
2005-05-19,1.2154,1.2077,1.2269,1.1654,5935726.37,4964567.0,1.3462,1.1
2005-05-20,1.2154,1.1923,1.2269,1.1846,5410406.6,4480307.0,1.3269,1.0885
2005-05-23,1.1885,1.2192,1.2231,1.1231,6213164.96,5292417.0,1.3115,1.0731
2005-05-24,1.2154,1.2423,1.2692,1.1923,13476146.34,10842783.0,1.3423,1.0962
2005-05-25,1.2423,1.2231,1.25,1.2115,4749299.68,3859424.0,1.3654,1.1192
2005-05-26,1.2231,1.2192,1.2423,1.2115,2812169.18,2297771.0,1.3462,1.1
2005-05-27,1.2192,1.2038,1.2462,1.2038,2692387.02,2202876.0,1.3423,1.0962
2005-05-30,1.2154,1.2385,1.2423,1.1615,4512275.23,3725652.0,1.3231,1.0846
2005-05-31,1.2269,1.2192,1.2385,1.2154,2777915.75,2269904.0,1.3615,1.1154
2005-06-01,1.2269,1.2269,1.2423,1.1808,7933770.94,6506219.0,1.3423,1.0962
2005-06-02,1.2308,1.2538,1.2692,1.2192,14211459.4,11344991.0,1.35,1.1038
2005-06-03,1.2423,1.2115,1.2615,1.1923,5818972.76,4719523.0,1.3808,1.1269
2005-06-06,1.2115,1.2154,1.2154,1.1538,5136007.95,4325573.0,1.3346,1.0923
2005-06-07,1.2154,1.2154,1.2615,1.1923,5292908.75,4292946.0,1.3385,1.0923
2005-06-08,1.2,1.3077,1.3346,1.2,14195898.58,11066567.0,1.3385,1.0923
2005-06-09,1.3,1.3731,1.4192,1.2731,24806345.32,18163480.0,1.4385,1.1769
2005-06-10,1.3731,1.3077,1.3731,1.3,9883594.87,7422355.0,1.5115,1.2346
2005-06-13,1.3346,1.35,1.3923,1.3077,9917600.58,7358892.0,1.4385,1.1769
