,open,close,high,low,total_turnover,volume,limit_up,limit_down
2017-10-26,15.0,18.0,18.0,15.0,106199.0,5912.0,,
2017-10-27,19.8,19.8,19.8,19.8,13860.0,700.0,19.8,16.2
2017-10-30,21.78,21.78,21.78,21.78,41382.0,1900.0,21.78,17.82
2017-10-31,23.96,23.96,23.96,23.96,136572.0,5700.0,23.96,19.6
2017-11-01,26.36,26.36,26.36,26.36,68536.0,2600.0,26.36,21.56
2017-11-02,29.0,29.0,29.0,29.0,107300.0,3700.0,29.0,23.72
2017-11-03,31.9,31.9,31.9,31.9,790737.2,24788.0,31.9,26.1
2017-11-06,35.09,35.09,35.09,35.09,2326467.0,66300.0,35.09,28.71
2017-11-07,38.6,38.6,38.6,38.6,2752180.0,71300.0,38.6,31.58
2017-11-08,42.46,42.46,42.46,42.46,4148342.0,97700.0,42.46,34.74
2017-11-09,46.71,46.71,46.71,46.71,2606418.0,55800.0,46.71,38.21
2017-11-10,51.38,51.38,51.38,51.38,9638888.0,187600.0,51.38,42.04
2017-11-13,55.97,54.7,55.97,53.04,633877901.34,11639125.0,56.52,46.24
2017-11-14,52.34,49.23,53.47,49.23,410510940.61,8063879.0,60.17,49.23
2017-11-15,47.05,47.51,48.38,44.78,275906726.51,5950072.0,54.15,44.31
2017-11-16,46.06,44.01,46.95,43.8,193071307.46,4260966.0,52.26,42.76
2017-11-17,43.9,39.67,44.44,39.61,164237611.23,3947654.0,48.41,39.61
2017-11-20,39.72,40.2,40.2,38.21,100301722.79,2549658.0,43.64,35.7
2017-11-21,39.97,39.4,40.16,37.01,134324386.19,3460090.0,44.22,36.18
2017-11-22,39.25,38.74,39.97,38.11,89507907.77,2287423.0,43.34,35.46
2017-11-23,38.4,39.3,40.45,38.4,130691664.93,3316015.0,42.61,34.87
2017-11-24,38.9,40.54,41.58,38.57,161573971.97,3994895.0,43.23,35.37
2017-11-27,39.66,36.49,39.89,36.49,126337182.81,3342940.0,44.59,36.49
2017-11-28,35.45,36.33,36.78,35.4,78006201.03,2159741.0,40.14,32.84
2017-11-29,36.34,34.74,36.34,33.71,90314868.07,2581382.0,39.96,32.7
2017-11-30,34.93,35.13,35.5,34.62,62746415.94,1787578.0,38.21,31.27
2017-12-01,35.3,34.78,35.37,34.6,46815341.75,1339165.0,38.64,31.62
2017-12-04,34.46,32.11,35.0,31.7,72072074.17,2159005.0,38.26,31.3
