,open,close,high,low,total_turnover,volume,limit_up,limit_down
2005-01-07,2.3811,2.3406,2.3892,2.2839,507742.16,206685.0,2.5269,2.2839
2005-01-10,2.3487,2.4054,2.4054,2.3001,288981.97,116788.0,2.454,2.2272
2005-01-11,2.4216,2.4216,2.4297,2.373,227812.5,90518.0,2.5269,2.2839
2005-01-12,2.5431,2.4621,2.5431,2.4378,2671949.0,1010717.0,2.5431,2.3001
2005-01-13,2.4297,2.454,2.4621,2.3568,935582.0,368840.0,2.5836,2.3406
2005-01-14,2.4054,2.4378,2.454,2.3973,1058529.58,419960.0,2.5755,2.3325
2005-01-17,2.4459,2.454,2.5107,2.373,945935.16,370447.0,2.5593,2.3163
2005-01-18,2.454,2.4864,2.5026,2.4135,940418.44,364441.0,2.5755,2.3325
2005-01-19,2.6079,2.4945,2.6079,2.4702,1429574.3,540616.0,2.6079,2.3649
2005-01-20,2.4702,2.5026,2.5674,2.4459,613235.55,236057.0,2.616,2.373
2005-01-21,2.5107,2.4297,2.5107,2.3811,1136240.37,448444.0,2.6241,2.3811
2005-01-24,2.454,2.454,2.4783,2.4135,1935209.0,758622.0,2.5512,2.3082
2005-01-25,2.4378,2.4297,2.454,2.4216,801262.99,314353.0,2.5755,2.3325
2005-01-26,2.4216,2.4054,2.4297,2.3973,436853.36,173626.0,2.5512,2.3082
2005-01-27,2.4702,2.4054,2.4702,2.3973,451221.87,177978.0,2.5269,2.2839
2005-01-28,2.3892,2.3487,2.4297,2.2839,2664499.5,1089907.0,2.5269,2.2839
2005-01-31,2.3244,2.2596,2.3406,2.2353,589339.93,249486.0,2.4702,2.2353
2005-02-01,2.2272,2.1867,2.2839,2.1462,685619.0,299012.0,2.373,2.1462
2005-02-02,2.1867,2.292,2.3001,2.1867,958129.77,402056.0,2.3001,2.0814
2005-02-03,2.2839,2.2353,2.2839,2.2272,878207.87,373116.0,2.4054,2.1786
2005-02-04,2.1867,2.2029,2.2353,2.1786,872969.69,378662.0,2.3487,2.1219
2005-02-16,2.2272,2.2758,2.2758,2.2029,464994.42,197945.0,2.3163,2.0895
2005-02-17,2.2677,2.2758,2.2839,2.2434,277543.8,117447.0,2.3892,2.1624
2005-02-18,2.2515,2.292,2.292,2.2434,631596.0,265500.0,2.3892,2.1624
2005-02-21,2.2839,2.3001,2.3244,2.2677,806507.5,334825.0,2.4054,2.1786
