,open,close,high,low,total_turnover,volume,limit_up,limit_down
2010-03-26,6.8178,7.0807,7.2999,6.8178,549546973.26,76206408.0,,
2010-03-29,6.9419,7.0199,7.0929,6.6911,277268850.11,39158720.0,7.7893,6.3722
2010-03-30,6.92,6.9906,7.1294,6.8689,181439247.22,25175348.0,7.7211,6.3186
2010-03-31,6.9639,7.1197,7.2049,6.9419,218673744.38,29980920.0,7.6895,6.2918
2010-04-01,7.1246,7.1976,7.5409,7.0247,282334885.7,37702536.0,7.8307,6.4087
2010-04-02,7.11,7.1319,7.2439,7.0637,122471406.4,16702204.0,7.9183,6.4769
2010-04-06,7.1465,7.4094,7.4192,7.1124,186819453.47,24936696.0,7.8453,6.4184
2010-04-07,7.3778,7.4825,7.6335,7.3486,183741571.78,23820084.0,8.1497,6.6692
2010-04-08,7.4849,7.1124,7.5312,7.11,182657876.59,24313940.0,8.23,6.735
2010-04-09,7.144,7.2999,7.3486,7.1148,106615038.55,14347044.0,7.8234,6.4014
2010-04-12,7.1173,7.2414,7.2658,7.1173,128387314.89,17387352.0,8.0304,6.5694
2010-04-13,7.183,6.8689,7.2293,6.623,153157935.92,21596068.0,7.9646,6.5183
2010-04-14,6.8226,6.8421,6.9249,6.7447,64626155.98,9236792.0,7.5555,6.1823
2010-04-15,6.8494,6.4647,6.8494,6.4087,86329785.62,12807288.0,7.5263,6.1579
2010-04-16,6.4233,6.5767,6.696,6.3576,54312163.21,8064832.0,7.1124,5.8194
2010-04-19,6.5377,6.5816,6.7788,6.4184,60704568.55,8892132.0,7.2341,5.9193
2010-04-20,6.5743,6.6254,6.6522,6.343,44971226.36,6780428.0,7.239,5.9242
2010-04-21,6.6132,6.7837,6.808,6.5743,58627380.89,8474096.0,7.2877,5.9631
2010-04-22,6.7812,6.8032,6.9468,6.6985,68562544.47,9760204.0,7.463,6.1043
2010-04-23,6.7691,6.5986,6.8519,6.584,64096993.15,9365192.0,7.4825,6.1238
2010-04-26,6.5913,6.5743,6.6327,6.4428,39939381.91,5964924.0,7.2585,5.9388
2010-04-27,6.5451,6.4696,6.5451,6.36,39406021.39,5961148.0,7.2317,5.9168
2010-04-28,6.4525,6.5134,6.5597,6.3673,25075059.5,3758012.0,7.1173,5.8219
2010-04-29,6.5012,6.5158,6.6084,6.4769,34992694.64,5210916.0,7.166,5.8633
2010-04-30,6.5256,6.1384,6.528,5.9242,45897079.28,7173680.0,7.1684,5.8633
2010-05-04,6.0922,5.9655,6.1847,5.8438,23734088.82,3853216.0,6.752,5.5248
2010-05-05,5.8438,6.1384,6.1555,5.7221,42985586.43,7057656.0,6.5621,5.369
2010-05-06,6.0386,5.8341,6.1555,5.8316,27746591.93,4491700.0,6.752,5.5248
2010-05-07,5.7074,5.7464,5.8438,5.6198,20370945.02,3444936.0,6.4184,5.2497
2010-05-10,5.7488,5.4761,5.8365,5.2132,29726917.82,5240916.0,6.321,5.1718
2010-05-11,5.61,5.2643,5.649,5.2424,20889619.82,3745908.0,6.024,4.9283
2010-05-12,5.1912,4.9867,5.2838,4.8844,27156272.57,5231780.0,5.7902,4.7383
2010-05-13,5.0378,5.1498,5.1572,4.9064,25044991.07,4824264.0,5.4859,4.4876
2010-05-14,5.1328,5.1742,5.2059,5.0159,21786628.59,4148068.0,5.666,4.6361
2010-05-17,5.0646,4.658,5.1036,4.658,23589982.29,4669628.0,5.6928,4.658
2010-05-18,4.6945,4.6872,4.7335,4.3536,33726059.65,7180932.0,5.1231,4.1929
2010-05-19,4.5971,4.697,4.8236,4.5168,28229552.61,5846800.0,5.1572,4.2197
2010-05-20,4.6263,4.6483,4.7968,4.5947,19168420.34,3993708.0,5.1669,4.227
2010-05-21,4.4827,4.7846,4.7895,4.4559,28304976.03,5922112.0,5.1133,4.1832
2010-05-24,4.8406,5.1815,5.2521,4.809,45852299.97,8835196.0,5.2643,4.3074
2010-05-25,5.1133,5.0914,5.1547,5.0159,35930484.64,6886280.0,5.7001,4.6629
2010-05-26,5.0817,5.0914,5.1815,5.0403,20035439.06,3825908.0,5.6003,4.5825
2010-05-27,5.0987,5.2692,5.3081,5.0038,33389310.69,6289308.0,5.6003,4.5825
2010-05-28,5.3495,5.2911,5.3885,5.1864,27927872.94,5151720.0,5.7951,4.7432
2010-05-31,5.2716,5.0281,5.274,5.0281,24859705.38,4686700.0,5.8194,4.7627
2010-06-01,4.8698,4.8211,4.9672,4.6872,22383890.08,4515540.0,5.5321,4.5265
2010-06-02,4.7919,4.8869,4.8869,4.6872,13194419.17,2677212.0,5.3032,4.339
2010-06-03,4.9429,4.8455,5.0354,4.8406,19007108.17,3752484.0,5.3763,4.3975
2010-06-04,4.7919,4.9429,4.9575,4.7773,16784336.6,3360464.0,5.33,4.3609
2010-06-07,4.8455,5.1669,5.1864,4.7822,51255054.13,9826184.0,5.4372,4.4486
2010-06-08,5.1839,5.2497,5.313,5.1133,46719988.66,8745244.0,5.6831,4.6507
2010-06-09,5.2838,5.3568,5.4469,5.2107,78343367.45,14258592.0,5.7756,4.7237
2010-06-10,5.4055,5.3812,5.4786,5.3081,62635467.78,11259908.0,5.8925,4.8211
2010-06-11,5.4274,5.5273,5.5613,5.4006,57039252.11,10137836.0,5.9193,4.843
2010-06-17,5.6003,5.2716,5.6904,5.2545,49689820.36,8913504.0,6.08,4.9745
2010-06-18,5.2375,5.1766,5.3812,5.0914,32752485.51,6079832.0,5.8,4.7457
2010-06-21,5.1815,5.3446,5.4055,4.921,33742064.62,6243328.0,5.6953,4.658
2010-06-22,5.3446,5.3958,5.5273,5.3081,34286370.54,6135348.0,5.8803,4.8114
2010-06-23,5.3568,5.3812,5.5029,5.2959,31719976.43,5733572.0,5.9363,4.8552
2010-06-24,5.3446,5.3008,5.4469,5.2643,22621832.8,4125956.0,5.9193,4.843
2010-06-25,5.2667,5.1182,5.3008,5.0938,23272351.44,4380236.0,5.8316,4.77
2010-06-28,5.1182,5.1182,5.1182,5.1182,0.0,0.0,,
2010-06-29,5.0159,4.6069,5.0159,4.6069,83970847.41,17376308.0,5.6295,4.6069
2010-06-30,4.4194,4.5046,4.5509,4.2611,44975188.29,9954168.0,5.0671,4.1467
2010-07-01,4.4802,4.3585,4.5168,4.339,47072296.34,10375416.0,4.9551,4.0541
2010-07-02,4.3634,4.451,4.4997,4.2611,60121951.57,13267320.0,4.7943,3.9226
2010-07-05,4.3342,4.6385,4.7335,4.3293,62746070.41,13448960.0,4.8966,4.0054
2010-07-06,4.5776,4.7603,4.787,4.5509,75813223.27,15700216.0,5.1036,4.1759
2010-07-07,4.7603,4.882,4.9185,4.6994,78158318.8,15695192.0,5.2375,4.2855
2010-07-08,4.8698,4.865,4.9429,4.7603,52198574.17,10497760.0,5.3714,4.395
2010-07-09,4.8625,4.9794,5.0573,4.8455,60965731.55,11940736.0,5.3519,4.378
2010-07-12,4.9745,4.9794,5.0549,4.8723,48392020.36,9501440.0,5.4786,4.4827
2010-07-13,4.9064,4.9039,4.9502,4.7749,47734025.77,9570924.0,5.4786,4.4827
2010-07-14,4.9185,4.8698,4.9867,4.8138,38804148.95,7733312.0,5.3933,4.4145
2010-07-15,4.8625,4.6458,4.9064,4.6336,29827608.1,6089392.0,5.3568,4.3828
2010-07-16,4.6263,4.675,4.6921,4.5533,26988857.44,5684428.0,5.1109,4.1808
2010-07-19,4.6044,4.7554,4.787,4.602,36006488.6,7413572.0,5.1425,4.2075
2010-07-20,4.7724,4.9185,4.9185,4.7554,43016161.73,8635568.0,5.2302,4.2806
2010-07-21,4.921,4.9283,5.05,4.8991,58390514.61,11431264.0,5.4104,4.4267
