,open,close,high,low,total_turnover,volume,limit_up,limit_down
2017-04-05,19.11,19.11,19.11,19.11,422981.0,22134.0,,
2017-04-06,21.02,21.02,21.02,21.02,216506.0,10300.0,21.02,17.2
2017-04-07,23.12,23.12,23.12,23.12,223154.0,9652.0,23.12,18.92
2017-04-10,25.43,25.43,25.43,25.43,499750.0,19652.0,25.43,20.81
2017-04-11,27.97,27.97,27.97,27.97,906340.0,32404.0,27.97,22.89
2017-04-12,30.77,30.77,30.77,30.77,1333295.0,43331.0,30.77,25.17
2017-04-13,33.85,33.85,33.85,33.85,4214393.0,124502.0,33.85,27.69
2017-04-14,37.24,37.24,37.24,37.24,11382443.0,305651.0,37.24,30.47
2017-04-17,38.0,33.52,38.52,33.52,1035438106.0,29545271.0,40.96,33.52
2017-04-18,34.2,31.44,34.3,30.7,707726633.0,22034006.0,36.87,30.17
2017-04-19,31.4,32.05,32.66,30.97,553365343.0,17323731.0,34.58,28.3
2017-04-20,31.3,29.38,31.49,28.9,506388981.0,16924369.0,35.26,28.85
2017-04-21,29.0,28.51,29.4,28.2,301415312.0,10528075.0,32.32,26.44
2017-04-24,28.75,28.77,29.97,28.3,351688642.0,12083402.0,31.36,25.66
2017-04-25,28.56,28.84,29.89,28.39,319425484.0,10910484.0,31.65,25.89
2017-04-26,28.55,29.59,29.77,28.05,334655905.0,11542696.0,31.72,25.96
2017-04-27,29.25,31.54,32.55,29.08,679916243.0,21695650.0,32.55,26.63
2017-04-28,30.9,31.31,31.97,29.78,462673873.0,14849092.0,34.69,28.39
2017-05-02,31.31,31.97,32.54,31.2,413564371.0,13020831.0,34.44,28.18
2017-05-03,31.6,31.11,32.57,30.29,461724076.0,14735718.0,35.17,28.77
2017-05-04,30.6,31.18,32.48,30.51,441960900.0,14028077.0,34.22,28.0
2017-05-05,30.3,28.98,30.96,28.88,323719823.0,10705730.0,34.3,28.06
2017-05-08,28.7,26.81,29.19,26.76,273180100.0,9761705.0,31.88,26.08
2017-05-09,26.7,27.26,27.69,26.5,177081005.0,6523739.0,29.49,24.13
