,open,close,high,low,total_turnover,volume,limit_up,limit_down
2011-02-15,4.9662,5.3151,5.4612,4.8721,440780193.95,82820755.0,,
2011-02-16,5.1609,5.1528,5.2096,4.9986,246173763.24,46369933.0,5.8474,4.7844
2011-02-17,5.169,5.0895,5.3557,5.0571,175134776.56,32607707.0,5.6689,4.6383
2011-02-18,5.1593,5.5667,5.5991,5.1106,307007485.67,54513489.0,5.5991,4.5799
2011-02-21,5.3735,5.4449,5.5017,5.2534,172890257.83,30784436.0,6.1233,5.01
2011-02-22,5.5488,5.4531,5.7046,5.4368,172302186.83,29870270.0,5.9903,4.8996
2011-02-23,5.5164,5.4011,5.6608,5.2908,111241391.95,19473553.0,5.9984,4.9078
2011-02-24,5.3557,5.1999,5.3557,5.0311,81963640.86,15218975.0,5.9416,4.8607
2011-02-25,5.1463,5.1512,5.1934,4.997,53425942.22,10109209.0,5.7192,4.6805
2011-02-28,5.1609,5.2096,5.2989,5.0814,52026595.72,9625705.0,5.6657,4.6367
2011-03-01,5.1739,5.1772,5.2388,5.096,39222373.52,7327287.0,5.7306,4.6887
2011-03-02,5.0944,5.1122,5.1772,4.9986,33507796.77,6356364.0,5.6949,4.6594
2011-03-03,5.0847,4.9467,5.2177,4.9467,47421267.28,8969299.0,5.6235,4.601
2011-03-04,4.9548,5.01,5.0116,4.9013,34613081.62,6731208.0,5.4417,4.4517
2011-03-07,5.0019,5.0246,5.0311,4.9435,23807748.9,4599294.0,5.5115,4.5085
2011-03-08,5.049,5.1269,5.1544,5.0068,41297262.52,7805071.0,5.5277,4.5215
2011-03-09,5.096,5.0993,5.1285,5.049,20270826.72,3839402.0,5.6397,4.614
2011-03-10,5.0798,5.1447,5.1658,5.0246,19546272.76,3691544.0,5.6089,4.5897
2011-03-11,5.1447,5.2096,5.3508,5.0733,48997000.22,8986697.0,5.6592,4.6302
2011-03-14,5.2096,5.2729,5.2908,5.1528,21588151.36,3979556.0,5.7306,4.6887
2011-03-15,5.2226,5.1626,5.2583,5.0035,27699300.98,5195356.0,5.8004,4.7455
2011-03-16,5.2518,5.2194,5.2713,5.1139,15715749.76,2912079.0,5.6786,4.6465
2011-03-17,5.1577,5.2421,5.4011,5.083,34046579.93,6198942.0,5.7419,4.6968
2011-03-18,5.2112,5.195,5.3135,5.1739,14492144.91,2679938.0,5.7663,4.7179
2011-03-21,5.1204,5.1447,5.2518,5.0506,15515220.09,2911628.0,5.7144,4.6757
2011-03-22,5.1122,5.0765,5.1431,5.0554,7671367.4,1454540.0,5.6592,4.6302
2011-03-23,5.0798,5.1058,5.1577,5.07,9701897.94,1828896.0,5.5845,4.5686
2011-03-24,5.0765,5.2518,5.2518,5.0733,32056656.12,5976977.0,5.617,4.5945
2011-03-25,5.2259,5.3541,5.3849,5.2112,37484263.88,6791648.0,5.7776,4.726
2011-03-28,5.3119,5.3086,5.4271,5.2469,29483092.53,5331168.0,5.8896,4.8185
2011-03-29,5.1918,5.122,5.1918,5.0457,27674743.42,5213289.0,5.8393,4.7779
2011-03-30,5.1252,5.0928,5.1269,4.95,11222674.72,2146621.0,5.6348,4.6091
2011-03-31,5.0928,5.1285,5.1593,5.0457,5411057.68,1021181.0,5.6024,4.5832
2011-04-01,5.1122,5.281,5.3557,5.109,11729237.12,2153066.0,5.6413,4.6156
2011-04-06,5.2778,5.2161,5.281,5.1934,6028113.92,1113120.0,5.8085,4.7536
2011-04-07,5.1609,5.1869,5.2745,5.0636,11636045.28,2184774.0,5.7371,4.6952
2011-04-08,5.1285,5.3086,5.3297,5.0976,20701417.79,3819295.0,5.7062,4.6676
2011-04-11,5.2891,5.1528,5.2891,5.1463,10022368.68,1858317.0,5.8393,4.7779
2011-04-12,5.1285,5.1772,5.2129,5.109,7587380.08,1418983.0,5.6689,4.6383
2011-04-13,5.182,5.2762,5.307,5.109,13547842.73,2489121.0,5.6949,4.6594
2011-04-14,5.2875,5.4141,5.4141,5.1999,33267475.43,6009231.0,5.8036,4.7487
2011-04-15,5.3232,5.5196,5.7127,5.2843,54899835.11,9565336.0,5.9562,4.8721
2011-04-18,5.4531,5.5504,5.5667,5.3703,28517620.98,4991988.0,6.0714,4.9678
2011-04-19,5.4871,5.565,5.6072,5.3946,28044218.51,4893146.0,6.1055,4.9954
2011-04-20,5.5829,5.7858,6.0357,5.518,46507999.72,7676696.0,6.1217,5.0084
2011-04-21,5.8231,5.6803,5.9237,5.6803,25180845.01,4205051.0,6.3652,5.208
2011-04-22,5.6722,5.4677,5.6997,5.4449,20038037.33,3486679.0,6.2483,5.1122
2011-04-25,5.4693,5.7273,5.7273,5.3492,27492441.05,4791483.0,6.0146,4.9207
2011-04-26,5.6803,5.7306,5.9659,5.6592,21729049.94,3622432.0,6.3002,5.1544
2011-04-27,5.6965,5.4417,5.7452,5.4368,12577319.45,2169080.0,6.3035,5.1577
2011-04-28,5.4385,5.195,5.5017,5.1934,12717809.12,2295192.0,5.9854,4.898
2011-04-29,5.1139,5.2567,5.3459,5.1122,6192169.83,1143652.0,5.7144,4.6757
2011-05-03,5.208,5.3151,5.3849,5.1025,6418554.74,1183165.0,5.7825,4.7309
2011-05-04,5.2583,5.2713,5.2794,5.1366,7683454.2,1421418.0,5.8474,4.7844
2011-05-05,5.2713,5.2713,5.2713,5.2713,0.0,0.0,,
2011-05-06,5.2388,5.3151,5.3963,5.1447,7039681.0,1278941.0,5.7987,4.7438
2011-05-09,5.2275,5.2112,5.3963,5.1626,14420468.55,2645605.0,5.8474,4.7844
2011-05-10,5.195,4.7552,5.2745,4.6903,55788538.67,11089463.0,5.7322,4.6903
2011-05-11,4.7195,4.7406,4.7795,4.5442,25516413.11,5269552.0,5.2307,4.2797
2011-05-12,4.6708,4.6091,4.6708,4.5442,11315609.83,2364114.0,5.2145,4.2667
2011-05-13,4.6594,4.5994,4.6594,4.5621,15407647.73,3223430.0,5.07,4.1482
2011-05-16,4.5929,4.5101,4.6465,4.4468,17506857.42,3721178.0,5.0587,4.1401
2011-05-17,4.5134,4.5101,4.5686,4.4468,13900428.93,2986632.0,4.9613,4.059
2011-05-18,4.4631,4.4387,4.5621,4.4144,9094675.34,1953375.0,4.9613,4.059
2011-05-19,4.4631,4.3835,4.4647,4.3706,12783130.62,2789436.0,4.8834,3.9957
2011-05-20,4.3835,4.3706,4.3949,4.3446,9909590.41,2182267.0,4.8217,3.9454
2011-05-23,4.3543,4.257,4.3965,4.1352,18384581.63,4195933.0,4.8071,3.934
2011-05-24,4.1872,4.2845,4.3624,4.1417,16583477.63,3752476.0,4.6822,3.8317
2011-05-25,4.2683,4.3008,4.3089,3.9064,21984683.29,5116312.0,4.713,3.8561
2011-05-26,4.1709,4.1774,4.3008,4.1515,5085328.0,1161989.0,4.7309,3.8707
2011-05-27,4.1872,4.0476,4.2131,3.9859,6155589.73,1464745.0,4.5945,3.7603
2011-05-30,4.0411,3.9892,4.0849,3.9161,9674095.19,2317604.0,4.4517,3.6435
2011-05-31,4.0511,4.0739,4.0837,3.9126,5846918.84,1418068.0,4.3884,3.5899
2011-06-01,4.025,4.1309,4.1554,4.0055,3481511.5,823878.0,4.4813,3.6665
2011-06-02,4.0902,4.0462,4.1293,4.0136,3432442.3,817991.0,4.5449,3.7187
2011-06-03,4.0462,4.2776,4.2939,4.0104,8233987.56,1908023.0,4.4503,3.6421
2011-06-07,4.2743,4.3346,4.3444,4.1749,5693985.86,1284608.0,4.7062,3.8507
2011-06-08,4.3346,4.2825,4.3346,4.2532,3777936.0,853637.0,4.7681,3.9012
