,open,close,high,low,total_turnover,volume,limit_up,limit_down
2010-06-25,6.5882,6.0822,6.7173,6.0479,318869523.71,50117040.0,,
2010-06-28,5.8318,5.7581,5.9241,5.679,124234570.85,21179865.0,6.6909,5.4734
2010-06-29,5.7106,5.2837,5.7923,5.2178,98896871.74,17857958.0,6.3352,5.1836
2010-06-30,5.2679,5.2126,5.2679,5.0307,52232838.12,10017889.0,5.8134,4.7567
2010-07-01,5.2205,5.2205,5.4023,5.123,51942441.67,9774656.0,5.7343,4.6908
2010-07-02,5.1651,5.0544,5.2099,4.8831,47174562.39,9246705.0,5.7422,4.6987
2010-07-05,4.9543,4.9886,5.0465,4.8937,24804281.43,4930144.0,5.5604,4.5485
2010-07-06,4.9569,5.0492,5.123,4.9279,46942641.35,9216105.0,5.4866,4.4905
2010-07-07,5.0307,5.0492,5.0861,4.9859,30208170.08,5925799.0,5.5551,4.5432
2010-07-08,5.0623,4.9279,5.0729,4.8752,39416214.68,7858748.0,5.5551,4.5432
2010-07-09,4.9411,5.1256,5.1519,4.8884,58181609.15,11350508.0,5.4207,4.4352
2010-07-12,5.1388,5.123,5.1757,5.0782,36665235.58,7073618.0,5.6395,4.6144
2010-07-13,5.0861,5.0597,5.0861,4.9543,28098356.82,5536320.0,5.6342,4.6117
2010-07-14,5.0202,5.1124,5.1493,5.0096,28436865.05,5508412.0,5.5657,4.5537
2010-07-15,5.1019,5.007,5.2389,4.9938,42904191.61,8232094.0,5.6237,4.6012
2010-07-16,4.9807,4.9042,5.007,4.8146,31172919.7,6290085.0,5.5077,4.5063
2010-07-19,4.8489,4.9596,4.9807,4.8015,26493046.05,5319352.0,5.3944,4.4141
2010-07-20,4.9596,5.0782,5.0808,4.9279,34332399.23,6756315.0,5.455,4.4641
2010-07-21,5.1071,5.1388,5.231,5.0808,47617864.51,9115372.0,5.5868,4.5696
2010-07-22,5.1071,5.1519,5.1783,5.0597,32514997.03,6268354.0,5.6526,4.6249
2010-07-23,5.144,5.3417,5.3628,5.1151,64854914.07,12201506.0,5.6685,4.6381
