,open,close,high,low,total_turnover,volume,limit_up,limit_down
2005-01-07,2.1063,2.0848,2.1063,2.0706,349025.0,166555.0,2.2848,1.8706
2005-01-10,2.0706,2.0991,2.1063,2.0706,452725.7,216104.0,2.2919,1.8778
2005-01-11,2.1205,2.092,2.1205,2.0777,480375.9,228285.0,2.3062,1.8921
2005-01-12,2.0777,2.0848,2.1063,2.0563,598125.0,286141.0,2.299,1.8849
2005-01-13,2.0706,2.0777,2.092,2.0634,682008.4,326839.0,2.2919,1.8778
2005-01-14,2.0706,2.0777,2.1063,2.0706,468380.48,223000.0,2.2848,1.8706
2005-01-17,2.0706,2.042,2.0848,2.0277,731707.0,354547.0,2.2848,1.8706
2005-01-18,2.0206,2.092,2.1063,2.0206,1151672.55,558880.0,2.2491,1.8349
2005-01-19,2.0848,2.092,2.1134,2.0563,942326.17,450420.0,2.299,1.8849
2005-01-20,2.092,2.0706,2.092,2.0491,533387.07,256742.0,2.299,1.8849
2005-01-21,2.0991,2.1634,2.2562,2.0563,4474985.88,2049512.0,2.2776,1.8635
2005-01-24,2.1705,2.1848,2.2205,2.1348,2265082.04,1037117.0,2.3776,1.9492
2005-01-25,2.1705,2.1562,2.1777,2.1277,1108205.38,514248.0,2.4061,1.9635
2005-01-26,2.1634,2.1063,2.1634,2.0848,1282049.17,602204.0,2.3704,1.942
2005-01-27,2.092,2.0777,2.0991,2.0706,713577.4,341334.0,2.3205,1.8992
2005-01-28,2.0634,2.0277,2.0706,2.0134,1008668.17,493672.0,2.2848,1.8706
2005-01-31,1.9992,1.9349,1.9992,1.8421,1379856.0,714585.0,2.2276,1.8278
2005-02-01,1.9135,1.9278,1.9635,1.8921,802841.0,412277.0,2.1277,1.7421
2005-02-02,1.9492,2.0134,2.0134,1.9206,1481465.7,751478.0,2.1205,1.735
2005-02-03,1.9992,1.9492,1.9992,1.9206,1269481.48,643191.0,2.2134,1.8135
2005-02-04,1.9206,1.9206,1.9349,1.8207,2108013.72,1103161.0,2.142,1.7564
2005-02-16,2.0063,1.9635,2.0063,1.9492,1115004.02,561024.0,2.1134,1.7278
2005-02-17,1.9992,1.9992,1.9992,1.9492,700299.66,351592.0,2.1634,1.7707
2005-02-18,1.9992,2.0134,2.0349,1.9777,964160.0,478397.0,2.1991,1.7992
2005-02-21,2.0063,2.0491,2.092,2.0063,1945732.12,938912.0,2.2134,1.8135
2005-02-22,2.0349,2.0777,2.0848,2.0349,1658912.75,798352.0,2.2562,1.8421
2005-02-23,2.0706,2.0777,2.092,2.042,1485341.7,712150.0,2.2848,1.8706
2005-02-24,2.0706,2.0777,2.1063,2.0563,1308979.46,628701.0,2.2848,1.8706
2005-02-25,2.092,2.0706,2.0991,2.0706,2236937.0,1070554.0,2.2848,1.8706
2005-02-28,2.0706,2.042,2.0706,2.0349,1392350.2,676076.0,2.2776,1.8635
2005-03-01,2.042,2.0634,2.0634,2.0277,849439.4,413559.0,2.2491,1.8349
2005-03-02,2.0634,2.0634,2.1063,2.0491,1296244.0,621760.0,2.2705,1.8564
2005-03-03,2.0706,2.0349,2.0706,2.0206,976638.39,475739.0,2.2705,1.8564
2005-03-04,2.0349,1.992,2.0349,1.9849,1379751.98,685429.0,2.2419,1.8349
2005-03-07,2.0206,2.0349,2.0706,2.0063,989194.0,481408.0,2.1919,1.7921
2005-03-08,2.0349,2.0563,2.0563,2.0134,1081217.0,527681.0,2.2419,1.8349
2005-03-09,2.0563,2.0349,2.0563,2.0206,1206459.0,588171.0,2.2633,1.8492
2005-03-10,2.0206,1.9849,2.0349,1.9777,1214214.22,602525.0,2.2419,1.8349
2005-03-11,1.9849,1.992,2.0063,1.9349,1014483.5,512419.0,2.1848,1.785
2005-03-14,1.9992,1.942,1.9992,1.9135,1122598.21,577130.0,2.1919,1.7921
2005-03-15,1.9206,2.0277,2.0349,1.9135,1791991.58,908506.0,2.1348,1.7493
2005-03-16,2.042,1.992,2.092,1.992,3716016.6,1805295.0,2.2276,1.8278
2005-03-17,1.9635,1.942,1.9992,1.942,1263025.0,639740.0,2.1919,1.7921
2005-03-18,1.9777,1.9206,1.9777,1.9135,966535.2,498015.0,2.1348,1.7493
2005-03-21,1.8992,1.9278,1.9492,1.8921,685273.5,353530.0,2.1134,1.7278
2005-03-22,1.9278,1.8421,1.9278,1.8421,1366218.0,727826.0,2.1205,1.735
2005-03-23,1.8278,1.7992,1.8349,1.6921,1621255.43,910634.0,2.0277,1.6564
2005-03-24,1.785,1.7992,1.8064,1.7136,1044531.34,588978.0,1.9777,1.6207
2005-03-25,1.7778,1.7707,1.7921,1.7493,561245.0,315410.0,1.9777,1.6207
2005-03-28,1.7564,1.7778,1.7778,1.7421,392207.35,221778.0,1.9492,1.5922
2005-03-29,1.7635,1.7564,1.785,1.7493,312679.0,176284.0,1.9563,1.5993
2005-03-30,1.7421,1.685,1.7493,1.6779,939481.43,550077.0,1.9349,1.5779
2005-03-31,1.6707,1.6993,1.7207,1.6493,656700.42,385653.0,1.8564,1.5137
2005-04-01,1.6779,1.735,1.7707,1.6422,889698.39,519941.0,1.8706,1.5279
2005-04-04,1.6779,1.6993,1.7278,1.6707,661925.46,387826.0,1.9063,1.5636
2005-04-05,1.6779,1.6993,1.7278,1.6779,796770.5,463595.0,1.8706,1.5279
2005-04-06,1.6993,1.7207,1.7207,1.6779,680266.62,398703.0,1.8706,1.5279
2005-04-07,1.7207,1.7493,1.7635,1.7136,952617.22,543641.0,1.8921,1.5493
2005-04-08,1.7278,1.7564,1.7635,1.7207,664226.31,378599.0,1.9278,1.5779
2005-04-11,1.7564,1.7707,1.785,1.7207,1004600.18,568460.0,1.9349,1.5779
2005-04-12,1.7778,1.8064,1.8421,1.7635,3283326.6,1803179.0,1.9492,1.5922
2005-04-13,1.785,1.9135,1.9206,1.785,4482007.09,2379902.0,1.9849,1.6279
2005-04-14,1.8992,1.9706,2.1063,1.8778,14409403.83,7169102.0,2.1063,1.7207
2005-04-15,1.9635,1.8992,1.9635,1.8778,5946439.81,3079410.0,2.1705,1.7707
2005-04-18,1.8849,1.8421,1.8921,1.8064,2414510.97,1309431.0,2.092,1.7064
2005-04-19,1.8421,1.9706,2.0277,1.7921,3770830.06,1930738.0,2.0277,1.6564
2005-04-20,1.9349,1.9492,2.0206,1.8992,3038760.46,1535110.0,2.1705,1.7707
2005-04-21,1.942,1.8992,1.9849,1.8921,1121930.31,580216.0,2.142,1.7564
2005-04-22,1.8992,1.8207,1.9206,1.7992,1588294.34,858251.0,2.092,1.7064
2005-04-25,1.7921,1.8635,1.8706,1.7921,1324050.82,717348.0,2.0063,1.6422
2005-04-26,1.8921,1.9063,1.9278,1.8349,1087976.64,575518.0,2.0491,1.6779
2005-04-27,1.8778,1.8278,1.8992,1.8278,761639.93,408794.0,2.0991,1.7136
2005-04-28,1.8421,1.9278,1.9492,1.785,1922543.68,1036503.0,2.0134,1.6422
2005-04-29,1.8921,1.8635,1.9135,1.8278,1485764.87,791580.0,2.1205,1.735
2005-05-09,1.8849,1.785,1.8849,1.785,1262187.96,690753.0,2.0491,1.6779
2005-05-10,1.785,1.6564,1.785,1.6065,2797105.53,1695336.0,1.9635,1.6065
2005-05-11,1.6707,1.7992,1.8207,1.6707,3514175.67,1981838.0,1.8207,1.4922
2005-05-12,1.8064,1.7635,1.8564,1.7421,1643701.73,923273.0,1.9777,1.6207
2005-05-13,1.7493,1.7778,1.785,1.7278,617736.55,348970.0,1.942,1.585
2005-05-16,1.7778,1.7207,1.7778,1.6993,715227.4,413951.0,1.9563,1.5993
2005-05-17,1.6993,1.7278,1.7421,1.685,570636.53,329525.0,1.8921,1.5493
2005-05-18,1.735,1.785,1.785,1.7278,711788.74,403314.0,1.8992,1.5565
2005-05-19,1.7992,1.785,1.8278,1.7707,1008384.0,557995.0,1.9635,1.6065
2005-05-20,1.7707,1.8135,1.8635,1.7493,1394317.01,759558.0,1.9635,1.6065
2005-05-23,1.785,1.7564,1.7921,1.7493,743528.0,418688.0,1.992,1.635
2005-05-24,1.7207,1.785,1.7921,1.6993,784135.74,443987.0,1.9349,1.5779
2005-05-25,1.7707,1.785,1.8135,1.7493,940015.85,524013.0,1.9635,1.6065
2005-05-26,1.7992,1.8135,1.8207,1.7564,687481.32,382093.0,1.9635,1.6065
2005-05-27,1.7921,1.785,1.8207,1.7778,704538.1,390297.0,1.992,1.635
2005-05-30,1.7635,1.7635,1.8064,1.7493,1393075.0,782183.0,1.9635,1.6065
2005-05-31,1.7564,1.7421,1.785,1.735,1036138.25,586296.0,1.942,1.585
2005-06-01,1.7421,1.7136,1.7421,1.6993,886275.0,514022.0,1.9135,1.5708
2005-06-02,1.6993,1.7136,1.7207,1.6921,378444.0,220564.0,1.8849,1.5422
2005-06-03,1.7136,1.7421,1.7635,1.6921,651770.0,375495.0,1.8849,1.5422
2005-06-06,1.7136,1.7493,1.7564,1.7136,590467.0,338407.0,1.9135,1.5708
2005-06-07,1.7635,1.7635,1.7921,1.735,1100992.5,618067.0,1.9278,1.5779
2005-06-08,1.7635,1.8778,1.8921,1.7493,3209767.98,1740374.0,1.942,1.585
2005-06-09,1.8706,1.8492,1.8778,1.8207,2551242.39,1376410.0,2.0634,1.6921
2005-06-10,1.8849,1.8635,1.9849,1.8564,4754580.44,2469247.0,2.0349,1.6636
2005-06-13,1.8421,1.8421,1.8706,1.8064,1422595.2,771001.0,2.0491,1.6779
2005-06-14,1.8706,1.8207,1.8921,1.8135,1012423.2,547054.0,2.0277,1.6564
2005-06-15,1.7992,1.735,1.8064,1.735,1067738.76,597828.0,2.0063,1.6422
2005-06-16,1.7421,1.7921,1.7992,1.7278,606639.07,342304.0,1.9063,1.5636
2005-06-17,1.8207,1.785,1.8278,1.7564,486388.5,272795.0,1.9706,1.6136
2005-06-20,1.785,1.8207,1.8421,1.7564,1110390.53,612423.0,1.9635,1.6065
2005-06-21,1.8349,1.7921,1.8349,1.7778,900223.5,500799.0,2.0063,1.6422
2005-06-22,1.7778,1.7635,1.7992,1.7493,762927.0,430047.0,1.9706,1.6136
2005-06-23,1.7635,1.7635,1.7635,1.7635,0.0,0.0,,
2005-06-24,1.735,1.7921,1.8135,1.735,588395.6,330755.0,1.942,1.585
2005-06-27,1.8207,1.8278,1.8492,1.7992,1260949.13,684649.0,1.9706,1.6136
2005-06-28,1.7921,1.7635,1.7921,1.7493,912097.16,513619.0,2.0134,1.6422
2005-06-29,1.7707,1.7421,1.7707,1.735,698639.0,397503.0,1.942,1.585
2005-06-30,1.735,1.7278,1.7421,1.7136,410407.0,235826.0,1.9135,1.5708
2005-07-01,1.7136,1.685,1.7278,1.6779,808328.2,470536.0,1.8992,1.5565
2005-07-04,1.6422,1.6707,1.6779,1.5708,906061.52,561064.0,1.8564,1.5137
2005-07-05,1.6279,1.5993,1.6564,1.5922,702432.6,429894.0,1.8349,1.5065
2005-07-06,1.5993,1.6065,1.6279,1.5993,595885.6,367802.0,1.7564,1.4423
2005-07-07,1.6065,1.6065,1.635,1.585,420790.53,260632.0,1.7707,1.4494
2005-07-08,1.6065,1.6136,1.6564,1.585,845759.7,520152.0,1.7707,1.4494
2005-07-11,1.6493,1.5708,1.6636,1.5565,490598.0,303981.0,1.7778,1.4494
2005-07-12,1.5708,1.5708,1.585,1.4208,2118527.72,1397814.0,1.7278,1.4137
2005-07-13,1.5493,1.5065,1.5708,1.4922,829471.0,544696.0,1.7278,1.4137
2005-07-14,1.5636,1.5636,1.6279,1.5493,1440667.71,905810.0,1.6564,1.3566
2005-07-15,1.5636,1.4994,1.5708,1.4994,810880.01,529493.0,1.7207,1.4066
2005-07-18,1.4994,1.4637,1.5065,1.4423,569802.09,384963.0,1.6493,1.3494
2005-07-19,1.4637,1.4922,1.4994,1.4637,316719.55,213123.0,1.6136,1.3209
2005-07-20,1.4994,1.5279,1.5351,1.4565,698652.39,462216.0,1.6422,1.3423
2005-07-21,1.5279,1.4994,1.5279,1.478,693442.43,460709.0,1.6779,1.378
2005-07-22,1.5208,1.5279,1.5565,1.4851,906323.36,590236.0,1.6493,1.3494
2005-07-25,1.5065,1.5137,1.5279,1.478,565362.74,375102.0,1.6779,1.378
2005-07-26,1.5065,1.5422,1.5422,1.5065,998707.12,649952.0,1.6636,1.3637
2005-07-27,1.5422,1.5708,1.5779,1.5208,1595520.19,1021635.0,1.6993,1.3851
