,open,close,high,low,total_turnover,volume,limit_up,limit_down
2017-04-21,17.99,21.59,21.59,17.99,77184.0,3600.0,,
2017-04-24,23.75,23.75,23.75,23.75,49875.0,2100.0,23.75,19.43
2017-04-25,26.13,26.13,26.13,26.13,54873.0,2100.0,26.13,21.38
2017-04-26,28.74,28.74,28.74,28.74,22992.0,800.0,28.74,23.52
2017-04-27,31.61,31.61,31.61,31.61,167533.0,5300.0,31.61,25.87
2017-04-28,34.77,34.77,34.77,34.77,97356.0,2800.0,34.77,28.45
2017-05-02,38.25,38.25,38.25,38.25,612000.0,16000.0,38.25,31.29
2017-05-03,42.08,42.08,42.08,42.08,858432.0,20400.0,42.08,34.43
2017-05-04,46.29,46.29,46.29,46.29,985977.0,21300.0,46.29,37.87
2017-05-05,50.92,50.92,50.92,50.92,2164100.0,42500.0,50.92,41.66
2017-05-08,56.01,56.01,56.01,56.01,6922836.0,123600.0,56.01,45.83
2017-05-09,58.9,61.61,61.61,57.52,476656604.41,7928369.0,61.61,50.41
2017-05-10,61.01,59.84,63.99,59.0,526808945.14,8609915.0,67.77,55.45
2017-05-11,56.5,59.9,61.14,55.0,348476555.1,6053198.0,65.82,53.86
2017-05-12,58.8,58.19,59.95,57.05,253080824.91,4332615.0,65.89,53.91
2017-05-15,59.0,58.6,59.99,57.21,222605385.81,3792383.0,64.01,52.37
2017-05-16,57.45,59.35,59.35,56.45,245791399.35,4235495.0,64.46,52.74
2017-05-17,58.95,58.1,60.79,57.92,252477511.9,4270713.0,65.29,53.42
2017-05-18,57.01,56.3,58.3,56.26,165736742.42,2898217.0,63.91,52.29
2017-05-19,56.33,55.0,56.95,54.98,120851856.44,2165666.0,61.93,50.67
2017-05-22,54.5,51.1,55.18,51.01,137970427.76,2602400.0,60.5,49.5
2017-05-23,51.48,50.56,52.8,50.25,132013043.37,2562975.0,56.21,45.99
2017-05-24,49.86,51.1,51.74,49.49,102676411.92,2019376.0,55.62,45.5
2017-05-25,50.98,49.89,50.98,48.21,127667982.45,2574655.0,56.21,45.99
2017-05-26,49.92,50.7,51.87,49.61,106727237.89,2106455.0,54.88,44.9
2017-05-31,53.2,52.0,55.77,52.0,240941340.89,4413031.0,55.77,45.63
2017-06-01,49.54,48.02,51.68,48.0,144132932.06,2901776.0,57.2,46.8
2017-06-02,47.9,49.29,49.74,46.8,82611748.0,1707356.0,52.82,43.22
2017-06-05,51.21,51.15,54.22,50.6,200597968.26,3819800.0,54.22,44.36
2017-06-06,50.69,51.87,52.72,50.65,125180863.05,2427847.0,56.27,46.04
2017-06-07,51.69,53.16,54.2,51.42,153165301.86,2895121.0,57.06,46.68
2017-06-08,52.78,51.28,53.35,50.9,124403820.58,2389721.0,58.48,47.84
2017-06-09,51.31,51.36,51.59,50.12,63987667.35,1256480.0,56.41,46.15
2017-06-12,50.0,48.84,50.85,48.6,74493460.66,1498700.0,56.5,46.22
2017-06-13,48.51,50.2,50.5,48.51,60603869.0,1215417.0,53.72,43.96
2017-06-14,50.03,49.6,50.26,49.0,48450765.45,974414.0,55.22,45.18
2017-06-15,49.79,50.67,51.35,49.6,69107954.46,1361261.0,54.56,44.64
2017-06-16,50.65,50.16,50.86,49.8,47955294.0,955900.0,55.74,45.6
2017-06-19,50.36,50.33,50.8,49.89,34220763.0,680900.0,55.18,45.14
2017-06-20,50.6,49.9,50.9,49.9,44894969.4,889314.0,55.36,45.3
2017-06-21,50.03,50.27,50.68,49.9,31961168.91,636277.0,54.89,44.91
2017-06-22,50.02,48.64,50.33,48.58,55659847.0,1124000.0,55.3,45.24
2017-06-23,48.3,48.79,49.36,47.2,44119525.63,910947.0,53.5,43.78
2017-06-26,48.79,49.15,49.27,48.41,28792718.93,587913.0,53.67,43.91
2017-06-27,49.25,48.76,49.73,48.5,44161328.0,898700.0,54.07,44.24
2017-06-28,48.7,47.6,48.82,47.4,41183708.29,860161.0,53.64,43.88
